eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
dim 1;0.0354;57.0429;57.0429;
dim 2;0.0131;21.1319;78.1748;
dim 3;0.0073;11.7644;89.9391;
dim 4;0.0062;10.0609;100;

row
coord
   ;Dim 1;Dim 2;Dim 3;Dim 4;
money;-0.1153;0.02;0.1008;0.0846;
future;0.1764;-0.0979;-0.0526;-0.0054;
unemployment;-0.2122;-0.0707;-0.0044;-0.0377;
circumstances;0.4009;0.331;-0.0156;-0.0687;
hard;-0.25;0.0677;0.0603;-0.0032;
economic;0.354;0.3207;0.084;0.1544;
egoism;0.0599;-0.0257;0.179;-0.1123;
employment;-0.1368;0.2154;-0.2129;-0.0582;
finances;-0.237;-0.206;-0.0441;0.3206;
war;0.2168;-0.0747;-0.0978;0.0247;
housing;-0.0067;0.1282;0.0879;-0.1924;
fear;0.2033;-0.0581;-0.0331;-0.0096;
health;0.1117;0.0043;0.0228;0.0509;
work;-0.2117;0.1089;-0.0484;0.0205;

contrib
   ;Dim 1;Dim 2;Dim 3;Dim 4;
money;4.5499;0.3715;16.8836;13.8908;
future;17.5672;14.5869;7.5678;0.0923;
unemployment;22.6165;6.7786;0.0461;4.0403;
circumstances;6.2745;11.5436;0.0463;1.0443;
hard;2.9938;0.5918;0.8452;0.0027;
economic;12.0046;26.6044;3.2798;12.958;
egoism;0.681;0.3376;29.4956;13.5845;
employment;2.6215;17.5546;30.8151;2.6942;
finances;2.7904;5.6902;0.4695;28.9544;
war;2.1688;0.6942;2.1392;0.1598;
housing;0.0041;4.096;3.453;19.3683;
fear;11.6657;2.5678;1.4992;0.1463;
health;2.0571;0.0082;0.417;2.4272;
work;12.0049;8.5745;3.0427;0.6368;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;
money;0.4284;0.013;0.3279;0.2307;
future;0.7156;0.2201;0.0636;7e-04;
unemployment;0.8749;0.0971;4e-04;0.0276;
circumstances;0.584;0.398;9e-04;0.0171;
hard;0.8837;0.0647;0.0515;1e-04;
economic;0.4836;0.3971;0.0273;0.0921;
egoism;0.0733;0.0135;0.6551;0.258;
employment;0.1643;0.4076;0.3983;0.0298;
finances;0.2762;0.2087;0.0096;0.5055;
