eig
   	eigenvalue	percentage of variance	cumulative percentage of variance	
comp 1	4.1242	41.2421	41.2421	
comp 2	1.8385	18.3853	59.6274	
comp 3	1.2391	12.3914	72.0188	
comp 4	0.8194	8.1944	80.2132	
comp 5	0.7016	7.0155	87.2288	
comp 6	0.4229	4.2288	91.4576	
comp 7	0.3026	3.0258	94.4834	
comp 8	0.2745	2.7447	97.2281	
comp 9	0.1552	1.5522	98.7803	
comp 10	0.122	1.2197	100	

var
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
X100m	-0.8506	-0.1794	0.3016	0.0336	-0.1944	
Long.jump	0.7942	0.2809	-0.1905	-0.1154	0.2332	
Shot.put	0.7339	0.0854	0.5176	0.1285	-0.2488	
High.jump	0.6101	-0.4652	0.3301	0.1446	0.4027	
X400m	-0.7016	0.2902	0.2835	0.4308	0.1039	
X110m.hurdle	-0.7641	-0.0247	0.4489	-0.0169	0.2242	
Discus	0.7432	0.0497	0.1765	0.395	-0.4082	
Pole.vault	-0.2173	0.8075	0.0941	-0.339	-0.2217	
Javeline	0.4282	0.3861	0.6041	-0.3317	0.1978	
X1500m	0.0043	0.7845	-0.2195	0.448	0.2633	

cor
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
X100m	-0.8506	-0.1794	0.3016	0.0336	-0.1944	
Long.jump	0.7942	0.2809	-0.1905	-0.1154	0.2332	
Shot.put	0.7339	0.0854	0.5176	0.1285	-0.2488	
High.jump	0.6101	-0.4652	0.3301	0.1446	0.4027	
X400m	-0.7016	0.2902	0.2835	0.4308	0.1039	
X110m.hurdle	-0.7641	-0.0247	0.4489	-0.0169	0.2242	
Discus	0.7432	0.0497	0.1765	0.395	-0.4082	
Pole.vault	-0.2173	0.8075	0.0941	-0.339	-0.2217	
Javeline	0.4282	0.3861	0.6041	-0.3317	0.1978	
X1500m	0.0043	0.7845	-0.2195	0.448	0.2633	

cos2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
X100m	0.7236	0.0322	0.0909	0.0011	0.0378	
Long.jump	0.6307	0.0789	0.0363	0.0133	0.0544	
Shot.put	0.5386	0.0073	0.2679	0.0165	0.0619	
High.jump	0.3722	0.2164	0.109	0.0209	0.1622	
X400m	0.4922	0.0842	0.0804	0.1856	0.0108	
X110m.hurdle	0.5839	6e-04	0.2015	3e-04	0.0503	
Discus	0.5524	0.0025	0.0312	0.156	0.1667	
Pole.vault	0.0472	0.652	0.0088	0.1149	0.0491	
Javeline	0.1834	0.1491	0.365	0.11	0.0391	
X1500m	0	0.6154	0.0482	0.2007	0.0693	

contrib
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
X100m	17.5443	1.7505	7.3387	0.1376	5.3893	
Long.jump	15.2932	4.2904	2.9301	1.6249	7.7488	
Shot.put	13.0601	0.3967	21.6204	2.0141	8.8244	
High.jump	9.0248	11.7716	8.7929	2.5499	23.1155	
X400m	11.9355	4.5799	6.4876	22.6509	1.539	
X110m.hurdle	14.1575	0.0333	16.2613	0.0348	7.1662	
Discus	13.3931	0.1341	2.5147	19.0413	23.7558	
Pole.vault	1.1446	35.4619	0.714	14.0231	7.0051	
Javeline	4.4464	8.1087	29.4532	13.4296	5.5776	
X1500m	4e-04	33.4729	3.8872	24.4939	9.8784	

ind
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
SEBRLE	0.1955	1.5891	0.6425	0.0839	1.1683	
CLAY	0.8079	2.4748	-1.3874	1.2984	-0.825	
BERNARD	-1.3591	1.6481	0.2006	-1.9641	0.0842	
YURKOV	-0.889	-0.4426	2.5296	0.7129	0.4078	
ZSIVOCZKY	-0.1081	-2.0688	-1.3343	-0.1015	-0.2015	
McMULLEN	0.1212	-1.0139	-0.8625	1.3416	1.6215	
MARTINEAU	-2.4461	-1.3138	0.9184	0.3815	-2.2938	
HERNU	-1.9336	1.2049	0.1599	0.9113	-0.1296	
BARRAS	-1.8143	-0.4218	-0.673	0.2339	-0.2391	
NOOL	-2.8394	-1.608	-0.6209	-1.5904	1.4562	
BOURGUIGNON	-4.5129	1.292	0.0103	0.6817	0.4286	
Sebrle	3.529	1.2443	1.7159	-0.8269	-0.0256	
Clay	3.3908	1.6598	0.6323	-0.3239	0.582	
Karpov	4.1618	-0.8163	-1.0378	0.3204	-0.8153	
Macey	1.89	-2.1103	1.0013	0.5978	-2e-04	
Warners	1.4185	0.2882	-2.0446	-1.0425	-0.0415	
Zsivoczky	0.4822	-0.9476	1.767	-0.189	0.4165	
Hernu	0.2825	-1.1919	-0.1744	-0.8678	-0.705	
Bernard	1.398	-1.5113	-0.8501	0.7621	0.8791	
Schwarzl	-0.7262	0.6732	-1.0641	-0.948	-0.2952	
Pogorelov	-0.2192	0.8804	-0.3043	1.3861	-0.0154	
Schoenbeck	-0.5064	1.3293	-0.1053	-0.2549	-0.6597	
Barras	-0.323	-0.8378	0.8811	-0.6026	-0.7973	

cos2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
SEBRLE	0.0075	0.4975	0.0813	0.0014	0.2689	
CLAY	0.0487	0.457	0.1436	0.1258	0.0508	
BERNARD	0.1972	0.29	0.0043	0.4118	8e-04	
YURKOV	0.0961	0.0238	0.7782	0.0618	0.0202	
ZSIVOCZKY	0.0016	0.5764	0.2398	0.0014	0.0055	
McMULLEN	0.0022	0.1522	0.1101	0.2665	0.3893	
MARTINEAU	0.404	0.1165	0.0569	0.0098	0.3553	
HERNU	0.3993	0.1551	0.0027	0.0887	0.0018	
BARRAS	0.6162	0.0333	0.0848	0.0102	0.0107	
NOOL	0.4899	0.1571	0.0234	0.1537	0.1288	
BOURGUIGNON	0.8597	0.0705	0	0.0196	0.0078	
Sebrle	0.6754	0.084	0.1597	0.0371	0	
Clay	0.6876	0.1648	0.0239	0.0063	0.0203	
Karpov	0.7837	0.0301	0.0487	0.0046	0.0301	
Macey	0.3634	0.4531	0.102	0.0364	0	
Warners	0.2557	0.0106	0.5311	0.1381	2e-04	
Zsivoczky	0.0451	0.174	0.6051	0.0069	0.0336	
Hernu	0.0248	0.4418	0.0095	0.2342	0.1546	
Bernard	0.2893	0.3381	0.107	0.086	0.1144	
Schwarzl	0.1167	0.1003	0.2506	0.1989	0.0193	
Pogorelov	0.0078	0.1259	0.015	0.3121	0	
Schoenbeck	0.0671	0.462	0.0029	0.017	0.1138	
Barras	0.019	0.1277	0.1412	0.066	0.1156	

contrib
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
SEBRLE	0.0403	5.9715	1.4484	0.0373	8.4589	
CLAY	0.6881	14.4839	6.7537	8.9446	4.2179	
BERNARD	1.9474	6.4234	0.1411	20.4682	0.0439	
YURKOV	0.8331	0.4633	22.4517	2.6966	1.0308	
ZSIVOCZKY	0.0123	10.1217	6.2464	0.0547	0.2515	
McMULLEN	0.0155	2.4311	2.6103	9.5506	16.2949	
MARTINEAU	6.3079	4.0819	2.9592	0.7722	32.6071	
HERNU	3.9413	3.4335	0.0897	4.4066	0.1041	
BARRAS	3.4703	0.4207	1.5891	0.2902	0.3543	
NOOL	8.4994	6.1148	1.3527	13.4211	13.1416	
